Customer_ID,Customer_Age,Gender,Marital_Status,State,Postal_Code,Income,Address_Change_Flag,Vehicle_Age,Vehicle_Make,Vehicle_Model,Vehicle_Value,Annual_Mileage_Estimate,Safety_Features,VIN_Validated,Policy_Number,Policy_Status,Policy_Effective_Date,Policy_Expiry_Date,Policy_Cancellation_Date,Policy_Tenure_Months,Coverage_Type,Deductibles,Number_of_Drivers,Number_of_Vehicles,Has_Multi_Policy,Loyalty_Program_Enrollment,Billing_Method,Billing_Frequency,Payment_Method,Discount_Count,Premium_Amount,Premium_Change_Percent_Last_Renewal,Late_Payment_Count,Auto_Renew_Enabled,Retention_Offer_Sent,Retention_Offer_Accepted,Claims_Count_Lifetime,At_Fault_Accident_Count,Time_Since_Last_Claim,Claim_Type,Claim_Outcome,Total_Claim_Payout_Amount,Avg_Claim_Resolution_Days,Claim_Satisfaction_Score,Interaction_Score,NPS,Complaint_Count,Sentiment_Score,Churned
bbe9ab77-001c-4c9e-a95a-0e1e44e5ec3d,41,Male,Single,New York,14900,147000,0,7,Toyota,Camry,11200,11949,"Blind Spot Monitor, ABS",1,7d250130-6b12-4c6e-a0a8-9d21560bf346,Cancelled,04-09-2022,04-09-2023,04-07-2025,34,Collision,1000,2,2,1,0,Auto-Pay,Annually,Card,4,2463.99,9.44,1,0,1,1,2,2,43,Weather,Closed,13059.55,75,23,0.02,9,2,-0.58,1
b272898d-249e-4e84-add5-0962bbd851e5,54,Male,Married,New York,13425,101000,0,8,Nissan,Sentra,6400,13792,"ABS, Blind Spot Monitor",0,dd138983-38ad-49f6-b070-17eb27b405ae,Cancelled,21-05-2020,21-05-2021,28-04-2027,84,Liability,500,2,2,1,0,Auto-Pay,Quarterly,Card,3,1465.54,16.59,1,0,1,0,5,1,19,Weather,Closed,14756.85,55,44,0.24,6,2,-0.06,1
ec2ba04f-1348-4e40-9dbb-6317ea4e6368,35,Male,Divorced,New York,12095,117000,1,7,Honda,CR-V,11600,18103,"Lane Assist, Blind Spot Monitor",1,ab15da25-5e42-49a9-a6e6-4b414f531430,Active,08-01-2024,07-01-2025,,18,Collision,1000,1,2,0,0,Auto-Pay,Annually,ACH,1,1068.78,3.85,3,0,0,0,3,1,20,Collision,Closed,3515.15,6,63,0.39,1,1,0.11,0
fa2dbaec-52bd-4b54-b6b1-de1dee9436f0,24,Female,Married,Illinois,60544,7000,0,8,Toyota,Camry,8960,10258,"Lane Assist, Airbags",1,deb941a6-c640-4881-b37b-865261453cfb,Active,02-11-2015,01-11-2016,,117,Liability,500,1,1,0,0,Manual,Monthly,ACH,3,2930.51,6.95,0,0,1,1,3,0,41,Collision,Approved,4795.97,41,60,0.36,8,0,0.89,0
30691d82-c5c9-444b-8411-6449ee162685,54,Other,Married,New York,13234,111000,0,13,Honda,CR-V,5800,14062,"ABS, Airbags",1,e9558cf2-70eb-4a98-b13d-15a363e0aeec,Cancelled,04-08-2018,04-08-2019,01-11-2020,27,Liability,250,1,1,0,0,Manual,Quarterly,Card,4,2246.6,12.6,0,0,0,0,5,0,50,Weather,Approved,13364.58,86,20,0.03,6,2,0.01,1
b3a936ba-9d7b-40ff-b8ae-a98139ca16cf,53,Other,Married,California,93937,108000,0,9,Honda,Civic,5520,15817,"Airbags, Lane Assist",0,4e086bbb-2f64-49ea-9adb-b0e05d355a0e,Active,22-02-2018,22-02-2019,,89,Liability,250,2,1,0,0,Auto-Pay,Annually,ACH,4,2017.14,4.07,3,0,0,0,5,0,43,Collision,Declined,0,15,20,0.19,9,4,-0.75,0
6e5f8e78-d0e4-4219-83fe-d7f64244d571,58,Female,Single,New York,10508,66000,0,7,Nissan,Rogue,10800,8748,"Airbags, Backup Camera",1,eae6fe08-1a43-42e9-9edb-5f619dedcf65,Active,17-02-2016,16-02-2017,,114,Collision,250,1,1,0,0,Auto-Pay,Monthly,ACH,3,2813.66,9.25,1,0,0,0,0,0,,,,0,,,0.22,7,2,-0.2,0
af98e2a5-ddff-4706-8118-22cad5bb71a6,19,Female,Divorced,California,95646,5000,0,10,Ford,Escape,5400,11528,"Backup Camera, Lane Assist",0,8dc5124b-4a36-4d04-aad9-986e6f776034,Active,16-08-2015,15-08-2016,,120,Liability,1000,1,2,0,0,Auto-Pay,Annually,ACH,4,1129.78,0,1,0,0,0,1,1,31,Collision,Closed,10827.92,2,96,0.59,6,1,0.09,0
a532b5c9-806a-45b5-9d9c-cff0d0a029ba,26,Male,Divorced,Florida,34307,160000,0,7,Toyota,RAV4,12000,7811,"Lane Assist, Airbags",1,57ebbfaa-dc37-4a11-841a-00e8261cafe4,Active,20-11-2015,19-11-2016,,117,Collision,1000,1,2,0,0,Auto-Pay,Annually,ACH,3,1484.32,4.31,3,0,0,0,1,1,31,Weather,Approved,12338.26,11,75,0.1,8,3,-0.5,0
06d62e50-b88f-4ff9-8a13-3869cf6f1714,40,Other,Married,California,96005,119000,0,9,Honda,CR-V,6960,14208,"Backup Camera, ABS",1,78df5840-5264-4aa3-b83b-e8f33541f79f,Active,16-10-2022,16-10-2023,,33,Liability,250,2,2,0,1,Manual,Quarterly,Card,4,2035.5,12.01,3,0,0,0,0,0,,,,0,,,0.56,6,1,-0.02,0
