Customer_ID,Customer_Age,Gender,Marital_Status,State,Postal_Code,Income,Address_Change_Flag,Vehicle_Age,Vehicle_Make,Vehicle_Model,Vehicle_Value,Annual_Mileage_Estimate,Safety_Features,VIN_Validated,Policy_Number,Policy_Status,Policy_Effective_Date,Policy_Expiry_Date,Policy_Cancellation_Date,Policy_Tenure_Months,Coverage_Type,Deductibles,Number_of_Drivers,Number_of_Vehicles,Has_Multi_Policy,Loyalty_Program_Enrollment,Billing_Method,Billing_Frequency,Payment_Method,Discount_Count,Premium_Amount,Premium_Change_Percent_Last_Renewal,Late_Payment_Count,Auto_Renew_Enabled,Retention_Offer_Sent,Retention_Offer_Accepted,Claims_Count_Lifetime,At_Fault_Accident_Count,Time_Since_Last_Claim,Claim_Type,Claim_Outcome,Total_Claim_Payout_Amount,Claim_Closed_Date,Avg_Claim_Resolution_Days,Claim_Satisfaction_Score,Interaction_Score,NPS,Complaint_Count,Sentiment_Score,Churned
be539d64-a7e4-476a-bb59-79061b975a38,19,Male,Single,New York,10469,5000,1,7,Toyota,Camry,11200,6184,"Airbags, ABS",1,72560e12-bd98-439c-996f-720ec01c3f99,Cancelled,20-01-2024,19-01-2025,19-08-2025,19,Collision,1000,2,2,0,0,Auto-Pay,Annually,Card,0,2463.99,8.44,2,0,1,1,2,2,58,Weather,Closed,13059.55,18-06-2025,75,41,0.4,6,3,-0.44,1
aa9e9795-f3ec-471d-a2c5-ccdbce67fc2f,24,Male,Single,New York,11753,5000,1,8,Nissan,Sentra,6400,15253,"Lane Assist, ABS",0,bf3c214d-64ce-44a5-b780-610d7162c4a3,Cancelled,28-11-2022,28-11-2023,16-07-2026,44,Liability,250,2,2,0,0,Manual,Monthly,ACH,4,1465.54,15.59,3,0,1,0,5,1,46,Weather,Closed,14756.85,11-02-2025,55,22,0.68,4,4,-0.73,1
c4b23b30-9d6c-45cb-862c-e5767108b564,43,Other,Single,New York,12135,141000,0,7,Honda,Accord,10800,18103,"ABS, Blind Spot Monitor",1,a9ca74be-8c91-4865-83de-8dc360b96615,Active,25-12-2020,25-12-2021,,55,Collision,1000,1,2,0,0,Auto-Pay,Quarterly,ACH,4,1068.78,5.85,3,0,1,1,3,1,20,Weather,Approved,3515.15,30-12-2024,6,88,0.39,8,3,-0.24,0
9c100ade-d83f-459b-a14c-33473a5c5055,46,Female,Single,Texas,75628,149000,0,12,Toyota,Camry,5600,7027,"Lane Assist, ABS",0,ab28dfab-510f-4eec-815b-c96f0250aeca,Active,18-05-2023,17-05-2024,,25,Liability,1000,2,2,0,0,EFT,Monthly,ACH,2,2173.5,8.95,2,0,1,0,0,0,,,,0,,,,0.77,8,4,-0.76,0
3c5e9415-efa4-43f9-b37a-655691218ee1,52,Male,Married,Illinois,61168,82000,0,8,Nissan,Rogue,8640,5502,"Backup Camera, Lane Assist",1,a70ff2eb-4ac5-49bf-b12f-2bb5cd6084c0,Cancelled,05-07-2024,05-07-2025,06-06-2027,35,Liability,250,1,2,0,0,Auto-Pay,Annually,Card,3,2302.15,9.52,1,0,0,0,5,0,41,Weather,Closed,9744.58,08-03-2025,44,52,0.44,9,4,-0.42,1
7cc97d99-23d8-4cff-aeae-2d308ecbed21,60,Male,Single,Florida,32203,23000,0,0,Honda,Civic,20240,8157,"Blind Spot Monitor, Lane Assist",1,97bf91d8-02af-4d02-9e4e-1b8f2eb0fd0d,Active,16-04-2023,15-04-2024,,27,Medical,1000,2,2,0,0,EFT,Quarterly,Card,3,2272.82,6.44,1,0,0,0,3,0,27,Weather,Closed,13659.71,18-02-2025,4,98,0.8,9,4,-0.66,0
12705b62-b851-497b-9512-83e6a112d134,50,Male,Single,New York,11669,98000,0,4,Nissan,Sentra,12800,10864,"ABS, Airbags",1,78533614-d937-4993-8aa1-daa6e4de09d2,Active,11-04-2024,11-04-2025,,14,Collision,1000,1,1,0,0,Auto-Pay,Annually,ACH,1,2766.56,3.13,0,0,0,0,0,0,,,,0,,,,0.69,9,0,0.46,0
98949b76-f7bd-4c83-9922-234ac1e838c1,56,Other,Divorced,Texas,78567,73000,1,13,Chevrolet,Equinox,5200,5698,"Lane Assist, Blind Spot Monitor",1,8c684e1a-5226-472c-97df-532d5f74b701,Active,08-05-2023,07-05-2024,,26,Liability,250,1,2,0,0,Manual,Quarterly,Card,3,2885.82,5.2,3,0,0,0,5,0,32,Theft,Declined,0,06-05-2025,62,29,0.63,0,1,0.07,0
ad954923-c7ff-4570-82c0-e7e3430c1a8d,23,Male,Divorced,Pennsylvania,18914,13000,0,15,Ford,Focus,4000,9282,"Lane Assist, Airbags",1,78248e9e-9e58-4055-bf34-4f7023ab53bc,Active,17-06-2021,17-06-2022,,49,Liability,250,2,2,0,0,Manual,Monthly,Card,3,1978.91,12.71,3,0,0,0,2,0,18,Theft,Declined,0,17-10-2024,24,29,0.71,0,2,0.15,0
63937409-4a2e-47f0-8ee2-f547ff47d8e1,35,Female,Single,Florida,34192,126000,0,15,Nissan,Rogue,5400,10534,"ABS, Airbags",1,e23ee0e5-0245-4fff-92b8-6a38b0e3202d,Active,24-02-2022,24-02-2023,,40,Liability,1000,2,2,0,0,Auto-Pay,Monthly,ACH,4,1192.35,10.76,3,0,0,0,0,0,,,,0,,,,0.56,0,0,0.77,0
