Customer_ID,Customer_Age,Gender,Marital_Status,State,Postal_Code,Income,Address_Change_Flag,Vehicle_Age,Vehicle_Make,Vehicle_Model,Vehicle_Value,Annual_Mileage_Estimate,Safety_Features,VIN_Validated,Policy_Number,Policy_Status,Policy_Effective_Date,Policy_Expiry_Date,Policy_Cancellation_Date,Policy_Tenure_Months,Coverage_Type,Deductibles,Number_of_Drivers,Number_of_Vehicles,Has_Multi_Policy,Loyalty_Program_Enrollment,Billing_Method,Billing_Frequency,Payment_Method,Discount_Count,Premium_Amount,Premium_Change_Percent_Last_Renewal,Late_Payment_Count,Auto_Renew_Enabled,Retention_Offer_Sent,Retention_Offer_Accepted,Claims_Count_Lifetime,At_Fault_Accident_Count,Time_Since_Last_Claim,Claim_Type,Claim_Outcome,Total_Claim_Payout_Amount,Claim_Closed_Date,Avg_Claim_Resolution_Days,Claim_Satisfaction_Score,Interaction_Score,NPS,Complaint_Count,Sentiment_Score,Churned
731d4834-3851-4075-b22f-5fd005871f7b,19,Male,Single,New York,10735,5000,1,7,Toyota,Camry,11200,6184,"Airbags, ABS",1,44db64ac-baf1-4b33-b6c0-4a06e34cb3ab,Cancelled,20-01-2024,19-01-2025,19-08-2025,19,Collision,1000,2,2,0,0,Auto-Pay,Annually,Card,0,2463.99,8.44,2,0,1,1,2,2,58,Weather,Closed,13059.55,18-06-2025,75,41,0.4,6,3,-0.44,1
676735a0-a6a6-45e9-9726-0d5ab923d182,24,Male,Single,New York,14594,5000,1,8,Nissan,Sentra,6400,15253,"Lane Assist, ABS",0,b4d9f51f-b18b-4622-9b9f-d58a1c7fa85e,Cancelled,28-11-2022,28-11-2023,16-07-2026,44,Liability,250,2,2,0,0,Manual,Monthly,ACH,4,1465.54,15.59,3,0,1,0,5,1,46,Weather,Closed,14756.85,11-02-2025,55,22,0.68,4,4,-0.73,1
3e6ac522-0c5c-48ca-8c1a-03a4ce884db9,34,Male,Divorced,New York,14227,168000,0,7,Honda,Accord,10800,15805,"Lane Assist, Blind Spot Monitor",1,3a8e293e-567f-4244-b49a-4d7858a2e1fd,Active,07-04-2025,07-04-2026,,2,Collision,1000,2,2,0,1,Auto-Pay,Annually,ACH,1,1068.78,0,3,0,0,0,0,0,,,,0,,,,0.94,4,3,-0.69,0
48d9208f-75a4-48a6-b184-b800606a5022,25,Other,Married,Pennsylvania,18856,89000,0,8,Toyota,Camry,8960,13529,"Airbags, Lane Assist",1,cd2c9df1-f1aa-424b-90dc-47a1df1def9e,Cancelled,21-10-2023,20-10-2024,30-07-2024,9,Liability,500,1,1,0,1,Auto-Pay,Annually,ACH,0,2454.54,0,0,0,0,0,0,0,,,,0,,,,0.3,4,3,-0.97,1
6ad22243-ca0d-48b5-a351-c55c2e5b6948,45,Female,Divorced,Illinois,61607,90000,0,13,Honda,CR-V,5800,7454,"Blind Spot Monitor, Airbags",1,bfb9846b-a954-4555-8848-6e6451f809d8,Active,03-02-2022,03-02-2023,,41,Liability,1000,2,2,0,0,Manual,Monthly,ACH,4,2973.77,3.62,2,0,0,0,2,0,34,Theft,Closed,11683.42,21-12-2024,35,98,0.47,7,0,0.74,0
96574cda-9e90-4c21-bfa3-36d051fb01df,43,Female,Single,Illinois,62986,96000,0,5,Ford,F-150,19600,12408,"Airbags, Lane Assist",1,8571d0ed-29cb-436b-8c4a-a1c226898a8e,Cancelled,06-03-2023,05-03-2024,02-01-2025,22,Medical,1000,2,1,0,1,EFT,Quarterly,ACH,2,2697.83,17.06,2,0,1,0,4,0,44,Theft,Approved,7660.04,21-04-2025,14,64,0.54,7,1,-0.25,1
9a3af6b4-b430-43fa-9909-a53fa29cccba,61,Male,Single,Illinois,62740,55000,0,4,Nissan,Sentra,12800,15230,"Airbags, Blind Spot Monitor",1,9b5cb931-4a0b-42a7-bf5a-57ee7e707615,Active,11-04-2024,11-04-2025,,14,Collision,1000,2,1,0,0,Manual,Annually,ACH,0,1153.96,2.96,2,0,0,0,1,0,56,Theft,Approved,9684.35,18-05-2025,62,57,0.82,5,3,-0.55,0
1a1d0468-cab7-4424-bd74-d5752a1adeae,32,Other,Divorced,California,91668,144000,0,3,Toyota,Corolla,15840,10232,"Lane Assist, Blind Spot Monitor",1,9128a360-263f-4112-8e88-333771f89cb6,Active,02-03-2022,02-03-2023,,40,Medical,250,2,1,0,0,Manual,Quarterly,Card,3,1329.31,4.49,1,0,0,0,2,0,2,Weather,Closed,3720.56,06-05-2025,62,39,0.3,6,2,-0.24,0
24d6c731-da54-4ec5-9079-c593de96aa0a,21,Female,Single,California,95073,7000,0,15,Ford,Focus,4000,13004,"Blind Spot Monitor, ABS",1,6ef2ac64-28c2-40fb-8ec4-ab071e748dc0,Cancelled,13-12-2023,12-12-2024,31-01-2027,38,Liability,1000,2,2,0,0,Manual,Quarterly,Card,4,1533.56,13.68,3,0,0,0,4,0,32,Weather,Closed,8198.55,16-04-2025,2,55,0.15,8,2,-0.3,1
55683601-e5eb-46b4-8d20-6f17e6c81dfb,49,Other,Single,Florida,32176,96000,0,4,Toyota,Camry,17920,16111,"Airbags, Backup Camera",1,8e748a61-e3be-4812-94ec-8cd83761bdf8,Active,14-10-2023,13-10-2024,,20,Medical,1000,1,1,0,0,Auto-Pay,Quarterly,ACH,2,1081.55,8.72,2,0,1,1,3,2,29,Collision,Closed,740.52,29-05-2025,36,78,0.7,9,3,-0.24,0
23135e03-3e88-4a39-9b71-6109d9f47780,22,Other,Married,New York,11868,7000,0,2,Nissan,Rogue,21600,14874,"Backup Camera, Lane Assist",1,5ff896a8-aa82-4d14-a1a6-2d4449d4fd61,Active,27-04-2024,27-04-2025,,14,Medical,500,2,2,1,1,EFT,Quarterly,Card,0,2964.34,0,3,0,0,0,0,0,,,,0,,,,0.85,9,4,-0.27,0
443e4458-9616-4960-9081-098fd0ad135d,52,Other,Single,California,92834,71000,0,8,Toyota,Camry,8960,9433,"ABS, Blind Spot Monitor",1,72f19d69-4cc3-48b3-b083-018e73126b82,Active,23-02-2025,23-02-2026,,4,Liability,1000,2,2,0,1,EFT,Monthly,Card,0,2797.11,0,3,0,0,0,0,0,,,,0,,,,0.24,9,0,0.76,0
8df71751-045b-4d35-9ec0-6717d21e5fd4,63,Male,Divorced,Illinois,61131,56000,0,14,Ford,F-150,7000,9893,"Blind Spot Monitor, Backup Camera",1,10fb4bb4-3e6f-42cb-8b71-ba84237d5c23,Active,28-08-2023,27-08-2024,,22,Liability,250,1,2,0,1,Manual,Quarterly,Card,0,1732.94,7.59,3,0,1,1,2,0,18,Weather,Closed,1858.28,30-09-2024,48,51,0.57,6,4,-0.51,0
217b4c6e-b79f-46a5-9bc3-777f38375447,38,Male,Married,California,92780,92000,0,12,Ford,F-150,7000,10854,"Lane Assist, ABS",1,a9004212-3ba9-4866-aa82-3bd94db6794b,Active,24-10-2021,24-10-2022,,44,Liability,250,2,2,1,0,Auto-Pay,Monthly,Card,4,2989.1,0,3,0,0,0,5,0,46,Weather,Declined,0,14-05-2025,46,12,0.99,0,0,0.52,0
36d56579-7ad0-4537-a6c4-fde31498d932,52,Other,Divorced,Texas,78712,86000,0,11,Nissan,Sentra,4000,12992,"ABS, Blind Spot Monitor",1,353685f7-358b-4db7-a3fd-0cce5f9aafa8,Active,21-02-2023,21-02-2024,,28,Liability,250,2,1,0,0,Auto-Pay,Quarterly,Card,4,1590.58,5.78,3,0,1,1,1,0,13,Weather,Approved,10686.02,08-06-2025,9,88,0.89,9,1,0.19,0
6841b8c8-7e65-48cf-80bc-f1fd64ff6a88,60,Female,Married,New York,14611,53000,0,9,Chevrolet,Malibu,5760,5004,"Lane Assist, Backup Camera",1,1b633793-ed94-4bf7-ab89-2ea6bcdb0215,Active,05-04-2023,04-04-2024,,27,Liability,1000,1,2,1,0,EFT,Annually,Card,4,1876.95,1,2,0,0,0,1,0,34,Weather,Approved,9067.08,16-12-2024,22,65,0.64,8,3,-0.6,0
1cf1bdc4-5565-4063-9bf3-12d9f2a13d7d,54,Male,Divorced,New York,12939,135000,0,9,Chevrolet,Impala,7440,14204,"Backup Camera, Airbags",1,1c7b597d-c71d-4930-bd2c-92a0fa08f561,Active,05-11-2023,04-11-2024,,20,Liability,250,1,2,1,0,EFT,Monthly,ACH,1,2939.07,13.01,1,0,1,1,1,0,47,Theft,Closed,6786.05,04-06-2025,63,52,0.18,5,1,0.27,0
d9fce042-b709-448b-a56d-1a19bc24b747,39,Other,Single,Illinois,62886,50000,0,13,Ford,F-150,7000,7141,"Blind Spot Monitor, ABS",1,4ae411ea-8d50-43c0-8a60-b928c382f8af,Active,21-09-2021,21-09-2022,,46,Liability,500,2,2,0,0,EFT,Annually,Card,4,2909.73,8.89,1,0,0,0,5,0,47,Collision,Declined,0,10-09-2024,76,25,0.81,1,0,0.54,0
02e50574-f51f-4f72-8b08-d3a6bf0cc154,49,Female,Single,New York,10936,122000,0,5,Nissan,Rogue,15120,13527,"ABS, Backup Camera",1,11571304-1cc1-4f6c-b441-6b3ec200f781,Active,17-01-2024,16-01-2025,,17,Medical,1000,1,2,0,0,EFT,Monthly,ACH,2,1867.7,15.26,3,0,1,0,1,1,23,Weather,Approved,13356.87,11-11-2024,69,39,0.68,6,0,0.68,0
00f6224d-9798-462d-b039-2f1b76eaab3d,48,Other,Divorced,Florida,34720,116000,0,9,Toyota,RAV4,7200,17377,"Lane Assist, ABS",1,75d79a8e-d4de-4289-8df4-7433f29a7d37,Active,02-09-2022,02-09-2023,,34,Liability,1000,2,1,1,0,EFT,Quarterly,Card,4,1916.51,10.43,2,0,1,0,2,0,40,Collision,Approved,3496.92,21-11-2024,74,42,0.5,4,1,-0.47,0
e4e54f80-1769-4c86-9a0b-bc31597e9c38,53,Female,Married,Texas,76724,54000,0,7,Toyota,Camry,11200,7504,"Blind Spot Monitor, Airbags",1,12238023-fa14-4943-8cf3-94b4b6ac3868,Active,10-11-2024,10-11-2025,,7,Collision,1000,2,2,0,0,Manual,Monthly,Card,1,2257.89,0,0,0,0,0,0,0,,,,0,,,,0.78,4,0,0.86,0
301e78cc-ed82-487c-aab6-a18b0930a27a,39,Male,Married,Pennsylvania,17397,121000,0,0,Honda,CR-V,25520,12400,"Airbags, Lane Assist",1,884ceb1c-7443-47dc-adc1-508d30588eba,Active,06-02-2024,05-02-2025,,17,Medical,250,1,2,0,1,EFT,Quarterly,ACH,2,1477.19,7.35,3,0,0,0,4,0,51,Collision,Approved,13587.02,11-06-2025,30,79,0.57,8,4,-0.26,0
4e1fdcde-581d-418d-9c06-5de4b94c00cd,48,Other,Single,Illinois,61008,185000,0,2,Nissan,Rogue,21600,11801,"Backup Camera, Airbags",1,b9d317b6-6403-4573-933c-bf6b1fca40ad,Active,13-05-2022,13-05-2023,,38,Medical,250,1,2,0,1,Manual,Quarterly,ACH,3,2204.88,0,0,0,1,1,4,0,37,Collision,Closed,1822.49,08-09-2024,39,98,0.08,8,1,-0.15,0
aaf290a0-f5fc-4787-ab76-be033a08fe48,34,Male,Single,Illinois,62179,107000,0,9,Toyota,Corolla,5280,6810,"Backup Camera, ABS",0,ec36ce68-a80f-4536-ad10-4a1ed1af12cc,Active,07-09-2021,07-09-2022,,46,Liability,250,1,2,0,0,EFT,Quarterly,Card,4,1793.3,8.35,2,0,1,1,2,1,38,Weather,Closed,3881.81,04-03-2025,37,60,0.43,7,0,0.71,0
85731b2f-cfd8-4539-bfa0-16d5fd39f25e,30,Female,Single,Illinois,62171,94000,0,8,Chevrolet,Equinox,8320,5823,"Airbags, Backup Camera",1,f267c718-be42-4ff1-960a-fcab69e2a6cc,Active,05-01-2024,04-01-2025,,18,Liability,500,1,2,0,1,Manual,Monthly,Card,0,1937.32,8.61,3,0,1,0,0,0,,,,0,,,,0.56,7,3,-0.22,0
